Date,MMM
2012-05-01,6075.0
2012-05-02,6075.0
2012-05-03,6075.0
2012-05-04,6075.0
2012-05-07,6073.0
2012-05-08,6072.0
2012-05-09,6072.0
2012-05-10,6072.0
2012-05-11,6071.0
2012-05-14,6070.0
2012-05-15,6071.0
2012-05-16,6071.0
2012-05-17,6070.0
2012-05-18,6069.0
2012-05-21,6068.0
2012-05-22,6069.0
2012-05-23,6067.0
2012-05-24,6069.0
2012-05-25,6069.0
2012-05-29,6070.0
2012-05-30,6069.0
2012-05-31,6069.0
2012-06-01,6067.0
2012-06-04,6066.0
2012-06-05,6066.0
2012-06-06,6067.0
2012-06-07,6070.0
2012-06-08,6070.0
2012-06-11,6071.0
2012-06-12,6070.0
2012-06-13,6071.0
2012-06-14,6071.0
2012-06-15,6073.0
2012-06-18,6072.0
2012-06-19,6073.0
2012-06-20,6073.0
2012-06-21,6073.0
2012-06-22,6072.0
2012-06-25,6071.0
2012-06-26,6071.0
2012-06-27,6071.0
2012-06-28,6071.0
2012-06-29,6074.0
2012-07-02,6075.0
2012-07-03,6075.0
2012-07-05,6075.0
2012-07-06,6074.0
2012-07-09,6074.0
2012-07-10,6075.0
2012-07-11,6074.0
2012-07-12,6071.0
2012-07-13,6071.0
2012-07-16,6074.0
2012-07-17,6074.0
2012-07-18,6074.0
2012-07-19,6077.0
2012-07-20,6076.0
2012-07-23,6074.0
2012-07-24,6075.0
2012-07-25,6074.0
2012-07-26,6076.0
2012-07-27,6077.0
2012-07-30,6078.0
2012-07-31,6077.0
2012-08-01,6078.0
2012-08-02,6076.0
2012-08-03,6077.0
2012-08-06,6079.0
2012-08-07,6078.0
2012-08-08,6078.0
2012-08-09,6078.0
2012-08-10,6078.0
2012-08-13,6079.0
2012-08-14,6079.0
2012-08-15,6079.0
2012-08-16,6080.0
2012-08-17,6081.0
2012-08-20,6081.0
2012-08-21,6081.0
2012-08-22,6079.0
2012-08-23,6079.0
2012-08-24,6079.0
2012-08-27,6080.0
2012-08-28,6079.0
2012-08-29,6079.0
2012-08-30,6079.0
2012-08-31,6079.0
2012-09-04,6079.0
2012-09-05,6079.0
2012-09-06,6079.0
2012-09-07,6080.0
2012-09-10,6079.0
2012-09-11,6077.0
2012-09-12,6078.0
2012-09-13,6077.0
2012-09-14,6080.0
2012-09-17,6081.0
2012-09-18,6081.0
2012-09-19,6080.0
2012-09-20,6080.0
2012-09-21,6081.0
2012-09-24,6080.0
2012-09-25,6081.0
2012-09-26,6080.0
2012-09-27,6080.0
2012-09-28,6079.0
2012-10-01,6080.0
2012-10-02,6082.0
2012-10-03,6081.0
2012-10-04,6081.0
2012-10-05,6082.0
2012-10-08,6082.0
2012-10-09,6083.0
2012-10-10,6081.0
2012-10-11,6081.0
2012-10-12,6080.0
2012-10-15,6080.0
2012-10-16,6081.0
2012-10-17,6083.0
2012-10-18,6082.0
2012-10-19,6082.0
2012-10-22,6079.0
2012-10-23,6076.0
2012-10-24,6075.0
2012-10-25,6074.0
2012-10-26,6073.0
2012-10-31,6073.0
2012-11-01,6073.0
2012-11-02,6075.0
2012-11-05,6073.0
2012-11-06,6076.0
2012-11-07,6076.0
2012-11-08,6075.0
2012-11-09,6074.0
2012-11-12,6075.0
2012-11-13,6074.0
2012-11-14,6075.0
2012-11-15,6072.0
2012-11-16,6074.0
2012-11-19,6075.0
2012-11-20,6075.0
2012-11-21,6075.0
2012-11-23,6075.0
2012-11-26,6075.0
2012-11-27,6076.0
2012-11-28,6076.0
2012-11-29,6078.0
2012-11-30,6077.0
2012-12-03,6078.0
2012-12-04,6076.0
2012-12-05,6076.0
2012-12-06,6077.0
2012-12-07,6078.0
2012-12-10,6078.0
2012-12-11,6079.0
2012-12-12,6081.0
2012-12-13,6080.0
2012-12-14,6079.0
2012-12-17,6079.0
2012-12-18,6080.0
2012-12-19,6081.0
2012-12-20,6080.0
2012-12-21,6080.0
2012-12-24,6080.0
2012-12-26,6080.0
2012-12-27,6080.0
2012-12-28,6079.0
2012-12-31,6078.0
2013-01-02,6082.0
2013-01-03,6082.0
2013-01-04,6082.0
2013-01-07,6083.0
2013-01-08,6083.0
2013-01-09,6084.0
2013-01-10,6085.0
2013-01-11,6084.0
2013-01-14,6084.0
2013-01-15,6085.0
2013-01-16,6085.0
2013-01-17,6086.0
2013-01-18,6087.0
2013-01-22,6087.0
2013-01-23,6088.0
2013-01-24,6088.0
2013-01-25,6089.0
2013-01-28,6090.0
2013-01-29,6090.0
2013-01-30,6092.0
2013-01-31,6090.0
2013-02-01,6091.0
2013-02-04,6090.0
2013-02-05,6091.0
2013-02-06,6091.0
2013-02-07,6093.0
2013-02-08,6092.0
2013-02-11,6092.0
2013-02-12,6093.0
2013-02-13,6093.0
2013-02-14,6092.0
2013-02-15,6093.0
2013-02-19,6094.0
2013-02-20,6095.0
2013-02-21,6093.0
2013-02-22,6093.0
2013-02-25,6094.0
2013-02-26,6092.0
2013-02-27,6092.0
2013-02-28,6094.0
2013-03-01,6094.0
2013-03-04,6094.0
2013-03-05,6094.0
2013-03-06,6095.0
2013-03-07,6096.0
2013-03-08,6096.0
2013-03-11,6096.0
2013-03-12,6097.0
2013-03-13,6096.0
2013-03-14,6096.0
2013-03-15,6097.0
2013-03-18,6096.0
2013-03-19,6097.0
2013-03-20,6097.0
2013-03-21,6096.0
2013-03-22,6096.0
2013-03-25,6098.0
2013-03-26,6096.0
2013-03-27,6096.0
2013-03-28,6097.0
2013-04-01,6097.0
2013-04-02,6097.0
2013-04-03,6098.0
2013-04-04,6097.0
2013-04-05,6095.0
2013-04-08,6097.0
2013-04-09,6097.0
2013-04-10,6097.0
2013-04-11,6100.0
2013-04-12,6100.0
2013-04-15,6099.0
2013-04-16,6098.0
2013-04-17,6096.0
2013-04-18,6097.0
2013-04-19,6096.0
2013-04-22,6097.0
2013-04-23,6097.0
2013-04-24,6099.0
2013-04-25,6095.0
2013-04-26,6096.0
2013-04-29,6094.0
2013-04-30,6094.0
2013-05-01,6095.0
2013-05-02,6096.0
2013-05-03,6098.0
2013-05-06,6099.0
2013-05-07,6099.0
2013-05-08,6100.0
2013-05-09,6100.0
2013-05-10,6102.0
2013-05-13,6102.0
2013-05-14,6103.0
2013-05-15,6103.0
2013-05-16,6104.0
2013-05-17,6104.0
2013-05-20,6104.0
2013-05-21,6105.0
2013-05-22,6104.0
2013-05-23,6102.0
2013-05-24,6102.0
2013-05-28,6104.0
2013-05-29,6104.0
2013-05-30,6104.0
2013-05-31,6103.0
2013-06-03,6103.0
2013-06-04,6103.0
2013-06-05,6102.0
2013-06-06,6100.0
2013-06-07,6102.0
2013-06-10,6104.0
2013-06-11,6102.0
2013-06-12,6104.0
2013-06-13,6101.0
2013-06-14,6104.0
2013-06-17,6105.0
2013-06-18,6105.0
2013-06-19,6106.0
2013-06-20,6103.0
2013-06-21,6102.0
2013-06-24,6101.0
2013-06-25,6100.0
2013-06-26,6101.0
2013-06-27,6103.0
2013-06-28,6102.0
2013-07-01,6100.0
2013-07-02,6101.0
2013-07-03,6100.0
2013-07-05,6103.0
2013-07-08,6105.0
2013-07-09,6106.0
2013-07-10,6107.0
2013-07-11,6108.0
2013-07-12,6108.0
2013-07-15,6109.0
2013-07-16,6109.0
2013-07-17,6109.0
2013-07-18,6108.0
2013-07-19,6109.0
2013-07-22,6110.0
2013-07-23,6111.0
2013-07-24,6112.0
2013-07-25,6109.0
2013-07-26,6111.0
2013-07-29,6111.0
2013-07-30,6111.0
2013-07-31,6112.0
2013-08-01,6113.0
2013-08-02,6113.0
2013-08-05,6113.0
2013-08-06,6113.0
2013-08-07,6112.0
2013-08-08,6113.0
2013-08-09,6114.0
2013-08-12,6113.0
2013-08-13,6114.0
2013-08-14,6114.0
